pkoakwood,color
3,White
4,African American
5,African American
6,African American
7,White
8,White
9,African American
10,African American
11,African American
12,White
13,White
14,African American
15,White
16,African American
17,White
18,White
19,White
20,African American
21,White
22,White
23,African American
24,White
25,White
26,White
27,African American
28,White
29,White
30,White
31,White
32,African American
33,White
34,African American
35,White
36,African American
37,African American
38,White
39,African American
40,African American
41,White
42,African American
43,African American
44,White
45,White
46,White
47,White
48,White
49,African American
50,African American
51,White
52,African American
53,African American
54,White
55,White
56,African American
57,African American
58,White
59,White
60,White
61,White
62,African American
63,White
64,African American
65,White
66,White
67,White
68,White
69,African American
70,African American
71,White
72,African American
73,White
74,White
75,White
76,White
77,White
78,African American
79,White
80,White
81,White
82,White
83,White
84,White
85,White
86,White
87,African American
88,White
89,White
90,African American
91,White
92,African American
93,African American
94,African American
95,White
96,African American
97,White
98,White
99,White
100,African American
101,African American
102,African American
103,African American
104,White
105,African American
106,White
107,White
108,White
109,African American
110,White
111,African American
112,White
113,White
114,White
115,White
116,White
117,White
118,African American
119,White
120,White
121,African American
122,African American
123,African American
124,White
125,White
126,African American
127,African American
128,White
129,African American
130,White
131,White
132,African American
133,White
134,African American
135,White
136,African American
137,White
138,White
139,White
140,African American
141,African American
142,African American
143,White
144,White
145,White
146,White
147,White
148,African American
149,African American
150,White
151,African American
152,African American
153,Mexican
154,White
155,White
156,White
157,White
158,White
159,African American
160,African American
161,White
162,White
163,African American
164,White
165,African American
166,African American
167,African American
168,African American
169,White
170,White
171,African American
172,White
173,African American
174,White
175,African American
176,White
177,White
178,African American
179,White
180,African American
181,White
182,African American
183,African American
184,White
185,African American
186,Mexican
187,White
188,White
189,White
190,African American
191,White
192,White
193,White
194,African American
195,White
196,White
197,African American
198,African American
199,White
200,African American
201,African American
202,White
203,White
204,African American
205,White
206,White
207,White
208,White
209,White
210,White
211,African American
212,African American
213,White
214,African American
215,African American
216,Mexican
217,White
218,White
219,White
220,African American
221,African American
222,African American
223,White
224,White
225,White
226,White
227,White
228,African American
229,White
230,White
231,White
232,African American
233,African American
234,African American
235,White
236,White
238,African American
239,African American
240,African American
241,African American
242,White
243,White
244,African American
245,White
246,White
247,White
248,African American
249,African American
250,White
251,African American
252,White
253,White
254,White
255,White
256,African American
257,African American
258,White
259,White
260,White
261,African American
262,African American
263,White
264,African American
265,African American
266,White
267,African American
268,White
269,White
270,White
271,African American
272,African American
273,White
274,White
275,African American
276,Mexican
277,White
278,African American
279,White
280,African American
281,White
282,African American
283,African American
284,White
285,White
286,African American
287,White
288,African American
289,African American
290,White
291,White
292,African American
