pkoakwood,firstname
3,James
4,Henry
5,Nannie
6,Infant
7,Senator James W.
8,Emanda
9,Infant of Bishop
10,Clab.
11,Martha
12,Charles Howell
13,Matthew
14,Reuben
15,Charles
16,Mary
17,Elias R.
18,Infant of May
19,Thomas
20,Anny
21,Thomas
22,Infant of Mrs.
23,Fanny
24,Mary J.
25,Mrs. Francis
26,John
27,Elizabeth
28,Capt William
29,Mrs.
30,W. W.
31,Thomas
32,Isam
33,Samuel
34,Woman
35,Thomas
36,Jim
37,Pimey
38,Mrs.
39,Charity
40,William
41,Miss Seroy E.
42,Alsey
43,Geo.
44,Frances
45,F.
46,Thomas
47,Charles
48,Child of George
49,Willis
50,Infant
51,Ann T.
52,David
53,J.
54,Dr. E. T.
55,Child
56,B.
57,Susan
58,Capt James W. M.
59,Albin
60,Infant of E.D.
61,Wm. A.
62,Infant of N.
63,Infant
64,Ann
65,Infant of Ben
66,Fanny
67,Dr. James
68,Mrs. J. E.
69,Infant
70,Man
71,John
72,Mary
73,Mr. Gustavus
74,Margaret
75,Son of Hamilton
76,John
77,Brinkman
78,Jack
79,Silla
80,Rufus N.
81,Patrick
82,Anna
83,N
84,Anna
85,John R.
86,Child of
87,Child of John
88,Miss
89,Norman A.
90,Robert
91,Mrs. Virginia
92,James
93,Woman of A. R.
94,Mary
95,Mary E.
96,Calvin
97,Mary
98,Lucy Ann
99,Infant of Mr.
100,Sam
101,Sallie
102,Infant of William
103,Martha
104,George
105,Thomas
106,Mrs. Nancy
107,Mrs. Emma
108,Ann
109,Infant
110,Delphia
111,Name not reported
112,Josephine E.
113,Mary Bell
114,Joseph
115,Abram
116,Infant of James
117,Infant of Charles
118,Mary B.
119,August
120,Berbha
121,Robert
122,Eliza
123,Clay
124,Allen
125,August C.
126,Milly
127,John
128,Fanny E.
129,Charley
130,Alice V.
131,Gusta A.
132,Lucretia
133,Child of
134,Child
135,Lewis
136,Howard J.
137,Henrietta H.
138,Wm. H.
139,M. S.
140,Sam
141,Charles
142,Martha
143,James Lee
144,Pattie
145,Willy
146,Infant of Dr.
147,Rufus
148,Jane
149,Emma
150,Robert
151,Wm. A.
152,Emma
153,not reported
154,Martha
155,Martha E.
156,Kitty
157,Horatio
158,Joshua
159,Infant of Mary
160,Ann
161,Son of Montgomery
162,Infant of Mary J.
163,Mary Ann
164,Mrs. Nancy
165,Infant of Napoleon
166,Isaac
167,Infant
168,Catherine
169,Miss Rosa
170,Sam
171,Ann
172,George W.
173,Ann
174,Mrs. Louisa J.
175,Edward
176,Michael
177,Mrs. E. M.
178,Lewis
179,John
180,James
181,Mary
182,Martha
183,Infant
184,Mrs. Stephen
185,Christopher A.
186,Man
187,Sterling W.
188,Mrs. A. M.
189,John W.
190,George
191,Infant of Black
192,Infant of Lily
193,Willie
194,Mary Jane
195,Infant of Charles
196,Willie
197,Child
198,Infant of Jack
199,Maj. Wm.
200,Francis
201,Colanis
202,Charles L.
203,Infant of A..
204,Infant
205,Miss Mollie A.
206,Miss Ella
207,D. H.
208,Estell
209,Casper
210,Steve
211,Infant of Henry
212,Infant of Charley
213,Clary
214,Charley
215,Kate
216,Child
217,Abijah
218,Philip
219,Wm. E.
220,Infant
221,Infant
222,Child of Ann
223,Annie G.
224,Mary Ann
225,Infant of Staff
226,Albert S.
227,Lewis
228,Henry
229,Henry T.
230,Eliza H.
231,--
232,Infant
233,Child of Gilbert
234,Infant of Nelly
235,Matilda J.
236,Infant
238,Infant
239,Charles
240,George
241,John
242,Franklin H.
243,E. A.
244,Infant
245,Henry S.
246,Christopher
247,Daughter of Julius
248,Child of Jim
249,Thomas
250,Edward
251,Jim
252,David
253,Infant of John
254,Thomas
255,Mrs.
256,Infant of Sam
257,Dock
258,Pet
259,Henry
260,Mrs. Sarah
261,Infant of Bob
262,Susan
263,Child of Charles
264,Jack
265,Infant
266,Mr.
267,Infant of Edward
268,Son of Burford
269,John T.
270,Mrs. Elizabeth
271,Child of Charley
272,Child of
273,John
274,George J.
275,Babe
276,Antontonio
277,Nicholas
278,Jim
279,John
280,Miss
281,infant of John
282,Winney Ann
283,Infant
284,Lucinda
285,Jane Rebecca
286,Joseph
287,Mrs. Jane Smith
288,Child of E. B.
289,Mr.
290,Joseph
291,Mrs. Eliza
292,Meredith
293,Howard
294,Eddy
295,Unnamed
296,Stranger
297,Infant
298,Miss E.
299,N
300,Francis
301,Mrs. Henry
302,Children of Mr.
303,Infant of Robert
304,Infant
305,H. A.
306,Amanda
307,J. H.
308,Infant of Euphene
309,Infant
310,Infant of Henry
311,Woman
312,Capt. Stephen
313,Mary A.
314,Child
315,Mrs. P.
316,Infant
317,John
318,Child
319,Infant
320,Edward O.
321,son of B.
322,N
323,Mrs.
324,Mrs. Juliet
325,Infant of James
326,Jack
327,Child of Charlotte
328,Child of Fanny
329,Mrs.
330,George P.
331,N
332,Fed.
333,Infant
334,Mrs. Missouri
335,Mr.
336,Infant of Mr.
337,Alvenor
338,Miles
339,Infant of John M.
340,Infant of Capt. Rhoads
341,Sylvester
342,Lucy C.
343,Infant of J.
344,Joana J.
345,Genora
346,Infant of Prince
347,Unknown
348,Infant of Josephine A.
349,Mrs. M. J.
350,Infant
351,Infant of Mr. W.
352,Mrs. Sophia J.
353,John
354,M. M.
355,Infant of C. A.
356,Infant of Charity
357,Unknown
358,Unknown
359,Edward J.
360,Hester
361,John
362,Wade
363,Mrs.
364,Susan
365,Andrew
366,Migas
367,Infant of George
368,T.
369,Infant
370,Infant of David
371,Name not reported
372,Name not reported
373,Mrs.
374,Caledonia J.
375,Jane
376,David
377,Taliaferro
378,Martin
379,George
380,A.
381,D.
382,Infant of Thomas
383,Mrs. S. C.
384,Giles
385,N
386,Mrs. N. P.
387,Billy
388,Child of Mrs.
389,J. H.
390,infant of G. C.
391,Col. H.
392,Infant of Mrs. A.
393,infant of Willie
394,infant of John
395,Miss Matilda M.
396,Elizabeth
397,Mrs. Kate
398,T. H.
399,N
400,Mrs. V. E.
401,Isaac
402,Louisa
403,Infant of Kate
404,Thomas
405,Infant
406,Phil
407,infant of Phebe
408,Edward O.
409,Margaret
410,Infant of Mr.
411,Henry
412,Annie
413,Mrs.
414,Felix
415,Frank
416,Mrs.
417,Infant of Milas
418,Mrs. E. O.
419,Maj. James
420,Mrs. Mary
421,infant of Alexander
422,Infant of Jack
423,John
424,Child of Mr.
425,Child of Mrs. S. C.
426,Infant of Jim
427,child of Mr.
429,Infant of Mrs.
430,Mrs. M. W.
431,Matilda
432,Henry
433,N
434,Tom
435,Margaret
436,infant of Wm. Price
437,James W.
438,Eugene
439,John R.
440,Michael
441,child of Charles
442,Mrs. M. R.
443,child of
444,child of James H.
445,Matt.
446,Ellen
447,child
448,child of Max
449,Jim
450,Matt.
451,David
452,N
453,Otis (Child of)
454,Tennessee
455,Sophia
456,Henry
457,Peter
458,Elizabeth
459,Child of David
460,Child
461,N
462,Maj.
463,Maj.
464,George
465,Joseph
466,child of Mary
467,Andrew
468,N
469,N
470,David
471,Infant of Oscar
472,John H. Taylor
473,Infant  of B.
474,child of Jennie
475,Julius
