pkoakwood,nativity
3,Ireland
4,Blank
5,Blank
6,Blank
7,Blank
8,Blank
9,Blank
10,Blank
11,Blank
12,Blank
13,Prussian
14,Blank
15,Blank
16,Blank
17,Pennsylvania
18,Blank
19,Blank
20,Blank
21,Blank
22,Blank
23,Blank
24,Blank
25,Blank
26,Blank
27,Blank
28,Blank
29,Blank
30,Blank
31,Blank
32,Blank
33,Blank
34,Blank
35,Blank
36,Blank
37,Travis Co.
38,Blank
39,Blank
40,Blank
41,Blank
42,Blank
43,Blank
44,Blank
45,Blank
46,"Gonzales, Texas"
47,Blank
48,Blank
49,Blank
50,Blank
51,Blank
52,Blank
53,Blank
54,Blank
55,Blank
56,Blank
57,Blank
58,Blank
59,Blank
60,Blank
61,Blank
62,Blank
63,Blank
64,Blank
65,Blank
66,from Bastrop County
67,from Fayette County
68,Blank
69,Blank
70,Blank
71,Blank
72,Blank
73,Blank
74,Blank
75,Blank
76,Blank
77,Blank
78,Blank
79,Blank
80,Blank
81,Blank
82,Blank
83,Blank
84,Blank
85,Blank
86,Blank
87,Blank
88,Blank
89,Blank
90,Blank
91,Blank
92,Blank
93,Blank
94,Blank
95,Blank
96,Blank
97,Blank
98,Blank
99,Blank
100,Blank
101,Blank
102,Blank
103,Blank
104,Canadian
105,Blank
106,Tennessee
107,Blank
108,Blank
109,Blank
110,Alabama
111,Blank
112,Blank
113,Blank
114,Blank
115,Kentucky
116,Blank
117,Blank
118,Blank
119,Germany
120,Texas
121,Texas
122,Texas
123,"Galveston, Texas"
124,Blank
125,Germany
126,Texas
127,Texas
128,Blank
129,Texas
130,Alabama
131,Blank
132,Native Texian
133,Native Texian
134,Blank
135,Blank
136,Texas
137,Blank
138,Blank
139,Blank
140,Blank
141,Blank
142,Blank
143,Blank
144,Blank
145,Blank
146,Blank
147,Blank
148,Texas
149,Texas
150,Louisiana
151,Texas
152,Texas
153,Blank
154,Louisiana
155,Blank
156,Blank
157,Virginia
158,Kentucky
159,Blank
160,Blank
161,"Llano Co., Texas"
162,Texas
163,Blank
164,Arkansas
165,Texas
166,Blank
167,Blank
168,Alabama
169,Blank
170,Blank
171,Blank
172,Blank
173,Blank
174,Tennessee
175,Alabama
176,Ireland
177,Blank
178,Blank
179,Germany
180,Texas
181,Georgia
182,Texas
183,Texas
184,Alabama
185,Texas
186,Blank
187,Tennessee
188,Blank
189,Texas
190,Blank
191,Blank
192,"Austin, Texas"
193,"Austin, Texas"
194,"Austin, Texas"
195,"Austin, Texas"
196,"Austin, Texas"
197,"Austin, Texas"
198,"Austin, Texas"
199,Blank
200,Tennessee
201,Blank
202,Blank
203,Blank
204,Blank
205,United States
206,Blank
207,"Decatur Co, Georgia"
208,Texas
209,Germany
210,Texas
211,Blank
212,Texas
213,Texas
214,Texas
215,Texas
216,Texas
217,Blank
218,Germany
219,Blank
220,Blank
221,Blank
222,Texas
223,Texas
224,Georgia
225,Texas
226,Texas
227,Blank
228,Blank
229,Blank
230,Blank
231,England
232,Texas
233,Texas
234,Texas
235,Texas
236,Blank
238,Blank
239,Texas
240,Texas
241,Texas
242,Texas
243,Blank
244,Blank
245,Texas
246,Prussia
247,Blank
248,Texas
249,Texas
250,Blank
251,Georgia
252,Ireland
253,Texas
254,Blank
255,Blank
256,Texas
257,Blank
258,Tennessee
259,Texas
260,North Carolina
261,Texas
262,Kentucky
263,Texas
264,Alabama
265,Texas
266,"Austin, Texas"
267,"Austin, Texas"
268,"Austin, Texas"
269,"Austin, Texas"
270,Tennesee
271,Texas
272,Texas
273,Ireland
274,England
275,Texas
276,Mexico
277,Texas
278,Texas
279,Blank
280,Blank
281,Blank
282,Blank
283,Blank
284,Texas
285,Blank
286,Blank
287,Blank
288,Blank
289,on asylum lot
290,England
291,Tennessee
292,Texas
293,Texas
294,Texas
295,Blank
296,Blank
297,Blank
298,Texas
299,Texas
300,Mississippi
301,Sweden
302,"Austin, Texas"
303,Texas
304,Texas
305,North Carolina
306,Blank
307,Texas
308,Texas
309,Texas
310,Texas
311,Texas
312,Alabama
313,Blank
314,Blank
315,Blank
316,Blank
317,Blank
318,Blank
319,Blank
320,"Portland, Maine"
321,Blank
322,Blank
323,Blank
324,Blank
325,Blank
326,Blank
327,Blank
328,Blank
329,Tennessee
330,Blank
331,Blank
332,Germany
333,Blank
334,Blank
335,Sweden
336,Blank
337,"San Antonio, Texas"
338,Blank
339,Blank
340,Texas
341,Texas
342,Blank
343,Blank
344,Arkansas
345,Blank
346,Blank
347,Blank
348,Blank
349,Blank
350,Blank
351,Blank
352,Blank
353,Ireland
354,Tennessee
355,Blank
356,Blank
357,Blank
358,Blank
359,Texas
360,Texas
361,Ireland
362,Tennessee
363,Blank
364,Blank
365,Maine
366,Texas
367,Blank
368,Blank
369,Blank
370,Blank
371,Blank
372,Blank
373,Blank
374,Blank
375,Blank
376,Blank
377,Tennessee
378,Blank
379,Blank
380,Tennessee
381,Tennessee
382,Blank
383,Blank
384,Blank
385,Blank
386,Texas
387,Blank
388,Blank
389,Blank
390,Blank
391,Blank
392,Blank
393,Blank
394,Blank
395,Sweden
396,Blank
397,Texas
398,Kentucky
399,Blank
400,Blank
401,Blank
402,Arkansas
403,Blank
404,Blank
405,Blank
406,Tennessee
407,Blank
408,
409,Blank
410,Blank
411,Arkansas
412,Arkansas
413,Blank
414,Arkansas
415,Texas
416,Blank
417,Blank
418,Blank
419,Blank
420,Prussia
421,Blank
422,Blank
423,Blank
424,Blank
425,Blank
426,Blank
427,Blank
429,Blank
430,Blank
431,Blank
432,Blank
433,Blank
434,Blank
435,Blank
436,Blank
437,Blank
438,Blank
439,Alabama
440,Blank
441,Blank
442,Blank
443,Blank
444,Blank
445,Blank
446,Blank
447,Blank
448,Blank
449,Blank
450,Blank
451,Blank
452,Blank
453,Blank
454,Blank
455,Blank
456,Blank
457,Blank
458,Blank
459,Blank
460,Blank
461,Blank
462,Blank
463,Blank
464,Blank
465,Blank
466,Blank
467,Germany
468,Blank
469,Blank
470,Blank
471,Blank
472,Blank
473,Blank
474,Blank
475,Blank
476,Blank
477,Blank
478,Germany
479,Blank
480,Blank
481,Germany
482,Blank
483,Blank
484,Blank
485,Blank
486,Blank
487,Blank
488,Blank
489,South Carolina
490,Blank
491,Germany
492,Blank
493,Germany
494,Blank
495,Blank
496,Blank
497,Blank
498,Germany
499,Blank
500,Blank
501,Blank
502,Blank
503,Blank
504,Blank
505,
506,Mexico
507,Blank
508,Blank
509,South Carolina
510,Blank
511,Ireland
512,Arkansas
513,Blank
514,Blank
515,New Jersey
516,Blank
517,Blank
518,Blank
519,Alabama
520,Virginia
521,Blank
522,Blank
523,Blank
524,Blank
525,Blank
526,Blank
527,Blank
528,Louisiana
529,Mexico
530,Blank
531,Blank
532,Blank
533,Blank
534,Blank
535,Blank
536,Blank
537,Blank
538,Blank
539,Blank
540,Blank
541,Texas
542,Sweden
543,Blank
544,Blank
545,Blank
546,Mexico
547,Blank
548,Blank
549,Sweden
550,Blank
551,Blank
552,Blank
553,Blank
554,Blank
555,Blank
556,Blank
557,Blank
558,Blank
559,Blank
560,North Carolina
561,Blank
562,Ireland
563,Blank
564,Blank
565,Blank
566,
567,Blank
568,Blank
569,Blank
570,Blank
571,Mexico
572,Blank
573,Blank
574,Blank
575,Blank
576,Blank
577,Blank
578,Tennesee
579,Blank
580,Blank
581,Blank
582,Tennessee
583,Blank
584,Blank
585,Blank
586,Blank
587,Blank
588,Blank
589,Blank
590,Blank
591,Blank
592,Blank
593,Blank
594,Blank
595,Blank
596,Blank
597,Blank
598,Blank
599,Blank
600,Blank
601,Blank
602,Blank
603,Blank
604,Alabama
605,Blank
606,Blank
607,Blank
608,Blank
609,Blank
610,Blank
611,Blank
612,Mexico
613,Blank
614,Blank
615,Blank
616,Blank
617,Blank
618,Blank
619,Blank
620,Blank
621,Blank
622,Sweden
623,Blank
624,an old Texian
625,Germany
626,Blank
627,Blank
628,Blank
629,Blank
630,Blank
631,Blank
632,Blank
633,Blank
634,Blank
635,Blank
636,Blank
637,Blank
638,Blank
639,North Carolina
640,Blank
641,Blank
642,Blank
643,Blank
644,Blank
645,Blank
646,Tennessee
647,Blank
648,Blank
649,Blank
650,Blank
651,"Georgetown, Texas"
652,
653,Tennessee
654,Blank
655,Blank
656,Blank
657,Blank
658,Blank
659,Scotland
660,Blank
661,Blank
662,Blank
663,Blank
664,Blank
665,Blank
666,Blank
667,Blank
668,Blank
669,Blank
670,Blank
671,Blank
672,Blank
673,Blank
674,Blank
675,Blank
676,Blank
677,Blank
678,Blank
679,Blank
680,Blank
681,Blank
682,Blank
683,Blank
684,Blank
685,Germany
686,Blank
687,Blank
688,Blank
689,Blank
690,Blank
691,"Austin, Texas"
692,Virginia
693,Tennessee
694,Mississippi
695,Texas
696,Texas
697,Blank
698,Blank
699,Blank
700,Blank
701,Blank
702,Blank
703,Blank
704,Blank
705,Blank
706,Blank
707,Ireland
708,Blank
709,Blank
710,Blank
711,Blank
712,Blank
713,Blank
714,"Mountain City, Texas"
715,Blank
716,Blank
717,Blank
718,Sweden
719,Texas
720,Texas
721,Texas
722,Blank
723,Blank
724,
725,North Carolina
726,Blank
727,Blank
728,Blank
729,Blank
730,Blank
731,Blank
732,"Selma, Alabama"
733,Blank
734,Blank
735,Blank
736,Blank
737,Blank
738,Blank
739,Blank
740,Blank
741,Blank
742,Blank
743,Blank
744,France
745,Blank
746,Blank
747,Blank
748,Blank
749,Blank
750,Blank
751,Blank
752,Sweden
753,Blank
754,Blank
755,Blank
756,Blank
757,Ireland
758,Sweden
759,"Kentucky, U.S."
760,Blank
761,France
762,
763,Germany
764,Blank
765,Mexico
766,Blank
767,
768,Blank
769,Blank
770,Blank
771,Blank
772,Blank
773,Blank
774,"Brenham, Texas"
775,Blank
776,Blank
777,South Carolina
778,Blank
779,Blank
780,Blank
781,Blank
782,Blank
783,Sweden
784,Blank
785,Kentucky
786,Blank
787,Blank
788,Blank
789,Blank
790,Blank
791,Blank
792,Blank
793,Blank
794,Blank
795,Blank
796,Blank
797,Blank
798,Blank
799,Blank
800,Blank
801,Blank
802,German
803,Blank
804,"Austin, Texas"
805,Tennessee
806,Blank
807,
808,Blank
809,Blank
810,Blank
811,Blank
812,Blank
813,Blank
814,Blank
815,Blank
816,Blank
817,Blank
818,Sweden
819,Blank
820,Blank
821,Blank
822,England
823,Blank
824,Blank
825,Blank
826,Blank
827,Blank
828,Blank
829,Blank
830,Blank
831,Blank
832,Blank
833,Blank
834,Blank
835,Blank
836,Blank
837,Blank
838,Blank
839,Blank
840,Blank
841,Blank
842,Germany
843,Blank
844,Blank
845,Blank
846,Blank
847,Blank
848,Tennessee
849,Blank
850,Blank
851,Blank
852,"San Antonio, Texas"
853,Blank
854,Blank
855,Blank
856,Blank
857,Blank
858,Blank
859,Blank
860,Blank
861,Blank
862,South Carolina
863,Blank
864,Blank
865,Blank
866,Blank
867,Blank
868,Germany
869,Blank
870,Blank
871,Blank
872,Blank
873,Blank
874,Blank
875,Blank
876,Blank
877,Blank
878,Blank
879,Blank
880,Blank
881,Blank
882,Blank
883,Blank
884,Blank
885,Ireland
886,Blank
887,Blank
888,Blank
889,Blank
890,Blank
891,Blank
892,Blank
893,Blank
894,Blank
895,Blank
896,Blank
897,Blank
898,Blank
899,Mexico
900,Mexico
901,Blank
902,New York
903,England
904,Tennessee
905,Blank
906,Blank
907,Blank
908,Blank
909,Blank
910,Blank
911,Blank
912,Blank
913,Blank
914,Blank
915,Blank
916,Sweden
917,Blank
918,Blank
919,Blank
920,Blank
921,Blank
922,Blank
923,Blank
924,Blank
925,Blank
926,Illinois
927,Canada
928,Maryland
929,Blank
930,Blank
931,Blank
932,Blank
933,Blank
934,Blank
935,Blank
936,Blank
937,Blank
938,Sweden
939,
940,Blank
941,Blank
942,Blank
943,Blank
944,Blank
945,Blank
946,Blank
947,Blank
948,Blank
949,Blank
950,Blank
951,Blank
952,Blank
953,Blank
954,Blank
955,Blank
956,Blank
957,Blank
958,Blank
959,Blank
960,Blank
961,Blank
962,Blank
963,Blank
964,South Carolina
965,Blank
966,Blank
967,Blank
968,Blank
969,Blank
970,Blank
971,Walnut Creek
972,North Carolina
973,Blank
974,Blank
975,Blank
976,Blank
977,Blank
978,Blank
979,Blank
980,Sweden
981,Arkansas
982,Blank
983,Blank
984,Blank
985,Blank
986,Blank
987,"Rusk County, Tex"
988,Blank
989,Blank
990,Blank
991,Blank
992,Blank
993,Blank
994,
995,Blank
996,Blank
997,Blank
998,Blank
999,Blank
1000,Blank
1001,Blank
1002,Blank
1003,Blank
1004,Blank
1005,Blank
1006,Blank
1007,Blank
1008,Blank
1009,Blank
1010,Blank
1011,Blank
1012,Blank
1013,Blank
1014,Blank
1015,Blank
1016,Blank
1017,Blank
1018,Blank
1019,Blank
1020,Blank
1021,Blank
1022,Blank
1023,Blank
1024,Blank
1025,Blank
1026,Blank
1027,Blank
1028,Blank
1029,Blank
1030,Blank
1031,Blank
1032,Blank
1033,Blank
1034,Blank
1035,Blank
1036,Blank
1037,Blank
1038,Blank
1039,Blank
1040,Blank
1041,Blank
1042,England
1043,Blank
1044,Mex
1045,Blank
1046,Blank
1047,Blank
1048,Blank
1049,Blank
1050,Blank
1051,Blank
1052,Blank
1053,Blank
1054,Blank
1055,Blank
1056,Blank
1057,Blank
1058,Blank
1059,Blank
1060,Blank
1061,Blank
1062,Blank
1063,Blank
1064,Blank
1065,Blank
1066,Blank
1067,Blank
1068,Blank
1069,Blank
1070,Blank
1071,Blank
1072,Blank
1073,Blank
1074,Blank
1075,Blank
1076,Blank
1077,Blank
1078,
1079,
1080,Blank
1081,Blank
1082,Blank
1083,Blank
1084,Blank
1085,Blank
1086,Blank
1087,Blank
1088,Blank
1089,Blank
1090,Blank
1091,Blank
1092,Blank
1093,Blank
1094,Blank
1095,Blank
1096,Blank
1097,Blank
1098,Blank
1099,Blank
1100,Swede
1101,Blank
1102,Blank
1103,Blank
1104,Blank
1105,Blank
1106,Blank
1107,Blank
1108,Blank
1109,Blank
1110,Blank
1111,Blank
1112,Blank
1113,Blank
1114,Blank
1115,Blank
1116,Blank
1117,Blank
1118,Blank
1119,Blank
1120,Blank
1121,Blank
1122,Blank
1123,Blank
1124,Blank
1125,Blank
1126,Blank
1127,
1128,Blank
1129,Blank
1130,Blank
1131,Blank
1132,Blank
1133,Blank
1134,Blank
1135,
1136,Blank
1137,Blank
1138,Blank
1139,Blank
1140,Blank
1141,Blank
1142,Blank
1143,Blank
1144,Blank
1145,Blank
1146,Swede
1147,Blank
1148,Blank
1149,Blank
1150,Blank
1151,Blank
1152,Blank
1153,Blank
1154,Blank
1155,Blank
1156,Blank
1157,Blank
1158,Blank
1159,Blank
1160,Blank
1161,Blank
1162,Blank
1163,Blank
1164,Blank
1165,Blank
1166,Blank
1167,Blank
1168,Blank
1169,Blank
1170,Blank
1171,Blank
1172,Blank
1173,Blank
1174,England
1175,Blank
1176,San Antonio
1177,Blank
1178,Blank
1179,Blank
1180,Blank
1181,Blank
1182,Blank
1183,Blank
1184,Blank
1185,Blank
1186,Blank
1187,Blank
1188,Blank
1189,Blank
1190,Blank
1191,Blank
1192,Blank
1193,Blank
1194,Blank
1195,Blank
1196,Blank
1197,Blank
1198,Blank
1199,Blank
1200,Sweden
1201,Blank
1202,Blank
1203,Blank
1204,Blank
1205,Blank
1206,Blank
1207,Blank
1208,Blank
1209,
1210,Blank
1211,Blank
1212,Blank
1213,Blank
1214,Blank
1215,Blank
1216,Blank
1217,Blank
1218,Blank
1219,Blank
1220,Blank
1221,Blank
1222,Germany
1223,
1224,Blank
1225,Blank
1226,Blank
1227,Blank
1228,Blank
1229,Blank
1230,Blank
1231,Blank
1232,Blank
1233,
1234,Blank
1235,Blank
1236,
1237,Blank
1238,Blank
1239,Blank
1240,Blank
1241,Blank
1242,Blank
1243,Ireland
1244,Blank
1245,Blank
1246,Georgia
1247,Blank
1248,Blank
1249,Germany
1250,Blank
1251,Blank
1252,Blank
1253,Kentucky
1254,Blank
1255,Blank
1256,Blank
1257,Blank
1258,Blank
1259,Blank
1260,
1261,Blank
1262,Blank
1263,Blank
1264,Blank
1265,Blank
1266,Blank
1267,Blank
1268,Blank
1269,Blank
1270,Blank
1271,Blank
1272,Sweden
1273,Blank
1274,Blank
1275,Virginia
1276,Blank
1277,Blank
1278,Blank
1279,Blank
1280,Blank
1281,Blank
1282,Blank
1283,"Austin, Texas"
1284,"Natchez, Miss"
1285,Texas
1286,"Austin, Texas"
1287,"Austin, Texas"
1288,"Austin, Texas"
1289,New York
1290,Blank
1291,"Austin, Texas"
1292,"Austin, Texas"
1293,"Austin, Texas"
1294,New York
1295,"Austin, Texas"
1296,Blank
1297,"Austin, Texas"
1298,"Saxony, Germany"
1299,Blank
1300,Manschack Spring
1301,"Austin, Tex"
1302,"Austin, Texas"
1303,Ireland
1304,Vermont
1305,"Austin, Tex"
1306,Schleswig Holstein
1307,"Austin, Tx"
1308,"Austin, Tx"
1309,Blank
1310,"Austin, Tx"
1311,"Austin, Tx"
1312,"Austin, Tx"
1313,Alabama
1314,Blank
1315,"Austin, Tx"
1316,"Austin, Tx"
1317,Tennesee
1318,Virginia
1319,"Austin, Tx"
1320,"Austin, Tx"
1321,"Austin, Tx"
1322,Austin. Tx
1323,Italia
1324,Mississippi
1325,San Antonio
1326,"Austin, Tx"
1327,Texas
1328,Austin
1329,Blank
1330,Austin
1331,Blank
1332,Blank
1333,Austin
1334,Blank
1335,Austin
1336,Austin
1337,Austin
1338,Austin
1339,Austin
1340,Indiana
1341,Austin
1342,Austin
1343,Austin
1344,Austin
1345,Austin
1346,Austin
1347,Austin
1348,Blank
1349,Austin
1350,Louisianna
1351,Austin
1352,Austin
1353,Arkansas
1354,Austin
1355,Austin
1356,Tennesee
1357,Austin
1358,Ireland
1359,Ohio
1360,Austin
1361,Blank
1362,Austin
1363,Austin
1364,Louisanna
1365,Austin
1366,Blank
1367,Blank
1368,Austin
1369,Ireland
1370,Blank
1371,Austin
1372,Blank
1373,Austin
1374,Blank
1375,Blank
1376,Blank
1377,Germany
1378,Austin
1379,Austin
1380,Germany
1381,Austin
1382,Austin
1383,Austin
1384,Austin
1385,Illinois
1386,Austin
1387,Missoury
1388,Bull Creek
1389,Germany
1390,Blank
1391,Blank
1392,Blank
1393,New York
1394,Germany
1395,Austin
1396,Austin
1397,Blank
1398,Austin
1399,Blank
1400,old Texian
1401,Germany
1402,England
1403,Texas
1404,Austin
1405,Austin
1406,Austin
1407,Germany
1408,Austin
1409,Austin
1410,Austin
1411,Austin
1412,Austin
1413,Austin
