pkoakwood,yearsmonthsdays
3,067-00-00
4,020-00-00
5,000-05-17
6,000-03-00
7,047-00-00
8,012-00-00
9,000-00-01
10,000-02-00
11,000-08-00
12,000-14-00
13,038-00-00
14,014-00-00
15,015-00-00
16,001-00-00
17,017-00-00
18,N
19,025-00-00
20,080-00-00
21,028-00-00
22,000-00-08
23,045-00-00
24,010-00-00
25,025-00-00
26,045-00-00
27,065-00-00
28,087-00-00
29,027-00-00
30,035-00-00
31,000-06-00
32,050-00-00
33,000-03-00
34,025-00-00
35,087-10-00
36,040-00-00
37,016-00-00
38,000-00-00
39,045-00-00
40,000-00-15
41,015-05-00
42,028-00-00
43,030-00-00
44,010-00-00
45,003-10-00
46,020-00-00
47,000-00-10
48,000-04-00
49,050-00-00
50,000-00-00
51,065-00-00
52,075-00-00
53,004-00-00
54,049-00-00
55,000-20-00
56,022-00-00
57,052-00-00
58,N
59,023-00-00
60,000-10-00
61,059-00-00
62,000-00-10
63,000-00-04
64,018-00-00
65,000-00-20
66,024-00-00
67,073-00-00
68,N
69,000-00-20
70,055-00-00
71,035-00-00
72,020-00-00
73,N
74,086-00-00
75,000-00-01
76,N
77,004-05-00
78,035-00-00
79,019-04-17
80,N
81,045-00-00
82,000-00-20
83,045-00-00
84,000-00-00
85,001-00-16
86,000-22-00
87,000-07-00
88,009-00-00
89,000-11-00
90,001-22-00
91,022-00-00
92,000-11-00
93,045-00-00
94,000-01-14
95,000-22-00
96,003-11-00
97,000-17-00
98,000-06-11
99,000-00-00
100,012-00-00
101,055-00-00
102,000-00-06
103,035-00-00
104,035-00-00
105,000-00-00
106,040-00-00
107,026-00-00
108,000-11-00
109,000-10-00
110,030-00-00
111,000-02-00
112,000-15-00
113,000-18-00
114,000-02-04
115,076-00-00
116,000-02-00
117,000-02-00
118,000-18-00
119,035-00-00
120,000-11-00
121,017-00-00
122,000-10-00
123,025-00-00
124,030-00-00
125,044-00-11
126,000-00-11
127,000-00-07
128,000-17-00
129,000-00-07
130,004-09-00
131,000-15-00
132,026-03-00
133,000-00-00
134,000-03-00
135,049-00-00
136,002-02-00
137,000-00-17
138,000-15-00
139,006-00-00
140,000-00-12
141,000-00-08
142,002-00-00
143,000-19-24
144,001-00-25
145,001-00-02
146,000-00-05
147,000-14-00
148,011-06-00
149,002-00-00
150,000-12-10
151,000-14-00
152,006-00-00
153,N
154,020-04-00
155,000-08-00
156,004-10-00
157,075-10-00
158,073-04-00
159,000-00-01
160,060-00-00
161,002-00-00
162,000-00-13
163,016-00-00
164,034-00-00
165,000-00-04
166,063-00-00
167,000-00-00
168,020-00-00
169,016-00-00
170,040-00-00
171,050-00-00
172,063-00-00
173,055-00-00
174,035-00-00
175,022-00-00
176,024-00-00
177,030-00-00
178,006-00-00
179,052-00-00
180,060-00-00
181,030-00-00
182,012-00-00
183,N
184,067-00-00
185,016-00-00
186,030-00-00
187,066-00-00
188,060-00-00
189,002-02-00
190,N
191,000-00-00
192,000-03-00
193,000-03-00
194,000-17-00
195,000-03-00
196,004-00-00
197,003-00-00
198,N
