pkoakwood,nativity
4,Unknown
5,Unknown
6,Unknown
7,Unknown
8,Unknown
9,Unknown
10,Unknown
11,Unknown
12,Unknown
13,Prussia
14,Unknown
15,Unknown
16,Unknown
18,Unknown
19,Unknown
20,Unknown
21,Unknown
22,Unknown
23,Unknown
24,Unknown
25,Unknown
26,Unknown
27,Unknown
28,Unknown
29,Unknown
30,Unknown
31,Unknown
32,Unknown
33,Unknown
34,Unknown
35,Unknown
36,Unknown
37,"Travis County, Texas"
38,Unknown
39,Unknown
40,Unknown
41,Unknown
42,Unknown
43,Unknown
44,Unknown
45,Unknown
47,Unknown
48,Unknown
49,Unknown
50,Unknown
51,Unknown
52,Unknown
53,Unknown
54,Unknown
55,Unknown
56,Unknown
57,Unknown
58,Unknown
59,Unknown
60,Unknown
61,Unknown
62,Unknown
63,Unknown
64,Unknown
65,Unknown
68,Unknown
69,Unknown
70,Unknown
71,Unknown
72,Unknown
73,Unknown
74,Unknown
75,Unknown
76,Unknown
77,Unknown
78,Unknown
79,Unknown
80,Unknown
81,Unknown
82,Unknown
83,Unknown
84,Unknown
85,Unknown
86,Unknown
87,Unknown
88,Unknown
89,Unknown
90,Unknown
91,Unknown
92,Unknown
93,Unknown
94,Unknown
95,Unknown
96,Unknown
97,Unknown
98,Unknown
99,Unknown
100,Unknown
101,Unknown
102,Unknown
103,Unknown
104,Canada
105,Unknown
107,Unknown
108,Unknown
109,Unknown
111,Unknown
112,Unknown
113,Unknown
114,Unknown
116,Unknown
117,Unknown
118,Unknown
124,Unknown
128,Unknown
131,Unknown
132,Texas
133,Texas
134,Unknown
135,Unknown
137,Unknown
138,Unknown
139,Unknown
140,Unknown
141,Unknown
142,Unknown
143,Unknown
144,Unknown
145,Unknown
146,Unknown
147,Unknown
153,Unknown
155,Unknown
156,Unknown
159,Unknown
160,Unknown
161,"Llano County, Texas"
163,Unknown
166,Unknown
167,Unknown
169,Unknown
170,Unknown
171,Unknown
172,Unknown
173,Unknown
177,Unknown
178,Unknown
186,Unknown
188,Unknown
190,Unknown
191,Unknown
199,Unknown
201,Unknown
202,Unknown
203,Unknown
204,Unknown
206,Unknown
207,"Decatur County, Georgia"
211,Unknown
217,Unknown
219,Unknown
220,Unknown
221,Unknown
227,Unknown
228,Unknown
229,Unknown
230,Unknown
236,Unknown
238,Unknown
243,Unknown
244,Unknown
247,Unknown
250,Unknown
254,Unknown
255,Unknown
257,Unknown
279,Unknown
280,Unknown
281,Unknown
282,Unknown
283,Unknown
285,Unknown
286,Unknown
287,Unknown
288,Unknown
295,Unknown
296,Unknown
297,Unknown
306,Unknown
313,Unknown
314,Unknown
315,Unknown
316,Unknown
317,Unknown
318,Unknown
319,Unknown
321,Unknown
322,Unknown
323,Unknown
324,Unknown
325,Unknown
326,Unknown
327,Unknown
328,Unknown
330,Unknown
331,Unknown
333,Unknown
334,Unknown
336,Unknown
338,Unknown
339,Unknown
342,Unknown
343,Unknown
345,Unknown
346,Unknown
347,Unknown
348,Unknown
349,Unknown
350,Unknown
351,Unknown
352,Unknown
355,Unknown
356,Unknown
357,Unknown
358,Unknown
363,Unknown
364,Unknown
367,Unknown
368,Unknown
369,Unknown
370,Unknown
371,Unknown
372,Unknown
373,Unknown
374,Unknown
375,Unknown
376,Unknown
378,Unknown
379,Unknown
382,Unknown
383,Unknown
384,Unknown
385,Unknown
387,Unknown
388,Unknown
389,Unknown
390,Unknown
391,Unknown
392,Unknown
393,Unknown
394,Unknown
396,Unknown
399,Unknown
400,Unknown
401,Unknown
403,Unknown
404,Unknown
405,Unknown
407,Unknown
409,Unknown
410,Unknown
413,Unknown
416,Unknown
417,Unknown
418,Unknown
419,Unknown
421,Unknown
422,Unknown
423,Unknown
424,Unknown
425,Unknown
426,Unknown
427,Unknown
429,Unknown
430,Unknown
431,Unknown
432,Unknown
433,Unknown
434,Unknown
435,Unknown
436,Unknown
437,Unknown
438,Unknown
440,Unknown
441,Unknown
442,Unknown
443,Unknown
444,Unknown
445,Unknown
446,Unknown
447,Unknown
448,Unknown
449,Unknown
450,Unknown
451,Unknown
452,Unknown
453,Unknown
454,Unknown
455,Unknown
456,Unknown
457,Unknown
458,Unknown
459,Unknown
460,Unknown
461,Unknown
462,Unknown
463,Unknown
464,Unknown
465,Unknown
466,Unknown
468,Unknown
469,Unknown
470,Unknown
471,Unknown
