pkoakwood,whereburied
3,in lot number 59
4,"Historic ""Colored Grounds"""
5,"Historic ""Colored Grounds"""
6,
7,State cemetery
8,new cemetery block 31
9,"Historic ""Colored Grounds"""
10,"Historic ""Colored Grounds"""
11,"Historic ""Colored Grounds"""
12,block no 198
13,block no 8 s.w. gr
14,"Historic ""Colored Grounds"""
15,"block no 116, new cemetery"
16,
17,block no 62
18,old grave yard on Dr. Boardmans
19,Strangers Grounds
20,"Historic ""Colored Grounds"""
21,block no 19
22,
23,"Historic ""Colored Grounds"""
24,block no 163
25,
26,old grave yard
27,"Historic ""Colored Grounds"""
28,old grave yard
29,buried by her father George Davis Esq.
30,old grave yard
31,old grave yard
32,"Historic ""Colored Grounds"""
33,block no 193
34,"Historic ""Colored Grounds"""
35,
36,"Historic ""Colored Grounds"""
37,"Historic ""Colored Grounds"""
38,on block no 243
39,"Historic ""Colored Grounds"""
40,"Historic ""Colored Grounds"""
41,
42,"Historic ""Colored Grounds"""
43,"Historic ""Colored Grounds"""
44,
45,lot no 194
46,old grave yard
47,"old grave yard, corner block no 4"
48,lot no 205 n.s.
49,"Historic ""Colored Grounds"""
50,"Historic ""Colored Grounds"""
51,1/2 lot w no 64
52,"Historic ""Colored Grounds"" lot no"
53,"Historic ""Colored Grounds"" lot no"
54,lot no 204
55,lot no 45
56,Negro burying ground
57,"Historic ""Colored Grounds"" 12"
58,old grave yard
59,block no 157
60,block no 8 new cemetery
61,block no 199
62,Negro burying ground
63,
64,block no 15
65,lot no 38
66,
67,
68,lot no 204
69,"Historic ""Colored Grounds"""
70,"Historic ""Colored Grounds"""
71,
72,"Historic ""Colored Grounds"""
73,old grave yard
74,new grave yard lot No. 29
75,old grave yard
76,lot No. 197
77,west 1/2 block No 7
78,"Historic ""Colored Grounds"""
79,lot No. 200 J. Robison's lot
80,
81,lot No. 14 Geo. Durham's lot
82,old grave yard
83,stranger's grave yard of Travis County
84,"block 58, new cemetery"
85,"old grave yard, on Cheesam's lot"
86,Buried at home
87,
88,No. 87
89,
90,
91,Col. Risher's lot
92,"Historic ""Colored Grounds"""
93,"Historic ""Colored Grounds"""
94,
95,old grave yard
96,"Historic ""Colored Grounds"" 10"
97,M. Moore's lot new cemetery
98,On fraction block No. 10 new cemetery
99,old grave yard
100,
101,"Historic ""Colored Grounds"" 12"
102,"Historic ""Colored Grounds"" 13"
103,"Historic ""Colored Grounds"" 14"
104,old grave yard
105,"Historic ""Colored Grounds"" 15"
106,old grave yard
107,new cemetery No.
108,old grave yard
109,"Historic ""Colored Grounds"" 16"
110,lot No. 195
111,"Historic ""Colored Grounds"" 17"
112,new cemetery block No.l
113,new cemetery block No.
114,Strangers Grounds
115,new grave yard
116,new grave yard
117,new grave yard
118,"Historic ""Colored Grounds"" 18"
119,old grave yard
120,"new cemetery, lot No. 46"
121,"Historic ""Colored Grounds"""
122,"Historic ""Colored Grounds"" 20"
123,"Historic ""Colored Grounds"" 21"
124,new grave yard on his fathers lot
125,old grave yard
126,"Historic ""Colored Grounds"" 22"
127,"Historic ""Colored Grounds"" 23"
128,old grave yard Buried North & South
129,"Historic ""Colored Grounds"" 24"
130,old grave yard
131,new grave yard - Hoffines lot
132,"Historic ""Colored Grounds"" 25"
133,new grave yard
134,"Historic ""Colored Grounds"" 26"
135,new grave yard block 49
136,"Historic ""Colored Grounds"" 27"
137,new grave yard Bankey's lot
138,"block No. 9, Condemned portion"
139,block No. 211
140,"Historic ""Colored Grounds"" 28"
141,"Historic ""Colored Grounds"" 29"
142,"Historic ""Colored Grounds"" 30"
143,old grave yard
144,old grave yard Col Randolph's lot
145,new grave yard
146,new cemetery
147,
148,"Historic ""Colored Grounds"" 31"
149,"Historic ""Colored Grounds"" 32"
150,old graveyward
151,"Historic ""Colored Grounds"" 33"
152,"Historic ""Colored Grounds"" 34"
153,Strangers Grounds
154,old grave yard
155,
156,new grave yard
157,Old Grounds
158,new cemetery
159,"Historic ""Colored Grounds"" 35"
160,"Historic ""Colored Grounds"" 36"
161,
162,old grave yard
163,"Historic ""Colored Grounds"" 37"
164,new grave yard
165,"Historic ""Colored Grounds"" 38"
166,"Historic ""Colored Grounds"" 39"
167,
168,"Historic ""Colored Grounds"" 41"
169,new cemetery
170,new cemetery
171,"Historic ""Colored Grounds"" 42"
172,new cemetery
173,"Historic ""Colored Grounds"" 43"
174,new cemetery
175,"Historic ""Colored Grounds"" 44"
176,Strangers Grounds
177,new cemetery on 1/2 block no 282
178,"Historic ""Colored Grounds"" 45"
179,new cemetery lot no 201
180,"Historic ""Colored Grounds"" 46"
181,strangers grounds
182,"Historic ""Colored Grounds"" 47"
183,"Historic ""Colored Grounds"" 48"
184,old grave yard
185,"Historic ""Colored Grounds"""
186,Strangers Grounds
187,new cemetery
188,new cemetery
189,
190,
191,new cemetery grounds lot no 213
192,old grave yard
193,new grave yard
194,"Historic ""Colored Grounds"""
195,new grave yard
196,new cemetery block 214
197,"Historic ""Colored Grounds"" 52"
198,
199,new cemetery
200,"Historic ""Colored Grounds"" 54"
201,"Historic ""Colored Grounds"" 55 west 1/2 block"
202,new grave yard
203,new grave yard east 1/2 block
204,"Historic ""Colored Grounds"" 74"
205,new cemetery ground
206,new cemetery ground
207,old grave yard
208,old grave yard
209,old grave yard
210,new grave yard
211,"Historic ""Colored Grounds"" 56"
212,"Historic ""Colored Grounds"" 57"
213,
214,"Historic ""Colored Grounds"" 58"
215,
216,Strangers Grounds
217,old grave yard
218,new grave yard
219,State cemetery
220,
221,
222,"Historic ""Colored Grounds"" 62"
223,
224,new grave yard no 288
225,
226,new cemetery
227,
228,"Historic ""Colored Grounds"""
229,new cemetery
230,Old Grounds
231,new cemetery
232,"Historic ""Colored Grounds"" 63"
233,"Historic ""Colored Grounds"" 64"
234,"Historic ""Colored Grounds"" 65"
235,new grave yard
236,
238,"Historic ""Colored Grounds"""
239,"Historic ""Colored Grounds"" 66"
240,"Historic ""Colored Grounds"" 67"
241,"Historic ""Colored Grounds"" 68"
242,new grave yard
243,new cemetery
244,
245,old cemetery
246,old cemetery
247,new cemetery block no 100
248,"Historic ""Colored Grounds"" 69"
249,"Historic ""Colored Grounds"" 70"
250,new cemetery
251,"Historic ""Colored Grounds"" 71"
252,new cemetery
253,old grave yard
254,"Historic ""Colored Grounds"" 71"
255,new cemetery
256,"Historic ""Colored Grounds"" 73"
257,"Historic ""Colored Grounds"" 74"
258,old cemetery
259,new cemetery no 262
260,new cemetery
261,"Historic ""Colored Grounds"""
262,"Historic ""Colored Grounds"""
263,new cemetery
264,"Historic ""Colored Grounds"" 77"
265,"Historic ""Colored Grounds"" 78"
266,new cemetery
267,
268,new cemetery
269,new cemetery
270,new cemetery E1/2 block 271
271,"Historic ""Colored Grounds"""
272,"Historic ""Colored Grounds"""
273,old grave yard
274,new cemetery
275,"Historic ""Colored Grounds"""
276,public grounds
277,public grounds
278,"Historic ""Colored Grounds"""
279,
280,"Historic ""Colored Grounds"""
281,new grave yard
282,"Historic ""Colored Grounds"""
283,Strangers Grounds
284,new cemetery
285,new cemetery
286,
287,new cemetery
288,new cemetery
289,new cemetery
290,old cemetery
291,old cemetery
292,"Historic ""Colored Grounds"""
293,"Historic ""Colored Grounds"""
294,"Historic ""Colored Grounds"""
295,
296,Strangers Grounds
297,
298,new grave yard
299,"Historic ""Colored Grounds"""
300,strangers grounds
301,new cemetery
302,new cemetery
303,"Historic ""Colored Grounds"""
304,"Historic ""Colored Grounds"""
305,Strangers Grounds
306,lot no 366
307,new cemetery
308,state cemetery
309,"Historic ""Colored Grounds"""
310,"Historic ""Colored Grounds"""
311,"Historic ""Colored Grounds"""
312,old cemetery
313,old cemetery
314,Strangers Grounds
